167,모가디슈,2021-07-28,"34,546,041,730","3,612,602","1,688","210,719",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
168,귀향,2016-02-24,"27,250,291,990","3,587,252",876,"90,289",한국,한국,(주)와우픽쳐스
169,리얼 스틸,2011-10-12,"26,566,677,000","3,579,666",603,"87,650",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
170,신의 한 수,2014-07-03,"28,812,027,456","3,566,852",794,"77,110",한국,한국,(주)쇼박스
171,코코,2018-01-11,"27,723,289,440","3,513,114","1,177","85,935",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
172,해리 포터와 불의 잔,2005-12-01,"22,097,731,900","3,499,257",504,"45,555",미국,미국,워너브러더스 코리아(주)
173,태풍,2005-12-14,"22,209,675,300","3,471,150",481,"47,155",한국,한국,CJ ENM
174,비긴 어게인,2014-08-13,"27,351,496,741","3,469,943",525,"87,118",미국,미국,판씨네마(주)
175,부러진 화살,2012-01-18,"25,938,096,000","3,460,212",530,"71,607",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
176,끝까지 간다,2014-05-29,"27,007,718,900","3,450,388",645,"84,904",한국,한국,(주)쇼박스
177,어바웃 타임,2013-12-05,"25,283,190,300","3,445,650",568,"67,162",영국,영국,유니버설픽쳐스인터내셔널 코리아(유)
178,스파이,2013-09-05,"24,513,098,305","3,436,092",785,"72,805",한국,"한국,태국",(주)씨제이이엔엠
179,그것만이 내 세상,2018-01-17,"27,457,110,382","3,420,221",956,"95,443",한국,한국,(주)씨제이이엔엠
180,토이 스토리 4,2019-06-20,"28,763,352,540","3,400,623","1,336","85,913",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
181,돈,2019-03-20,"28,870,244,062","3,389,125","1,431","120,809",한국,한국,(주)쇼박스
182,악인전,2019-05-15,"29,134,171,150","3,364,773","1,307","97,367",한국,한국,"(주)에이스메이커무비웍스,(주)키위미디어그룹"
183,이끼,2010-07-14,"25,437,344,000","3,350,311",740,"58,200",한국,한국,CJ ENM
184,한반도,2006-07-13,"20,597,497,600","3,331,593",483,"49,539",한국,한국,CJ ENM
